# User Credentials for Classroom Companion
# All users have the same preset password: password123

# --- Admin ---
Email: admin@example.com
Password: password123

# --- Staff ---
Email: staff0@example.com, Password: password123
Email: staff1@example.com, Password: password123
Email: staff2@example.com, Password: password123
Email: staff3@example.com, Password: password123
Email: staff4@example.com, Password: password123
Email: staff5@example.com, Password: password123
Email: staff6@example.com, Password: password123
Email: staff7@example.com, Password: password123
Email: staff8@example.com, Password: password123
Email: staff9@example.com, Password: password123

# --- Students (sample) ---
Email: student0@example.com, Password: password123
Email: student1@example.com, Password: password123
Email: student2@example.com, Password: password123
Email: student3@example.com, Password: password123
Email: student4@example.com, Password: password123
Email: student5@example.com, Password: password123
Email: student6@example.com, Password: password123
Email: student7@example.com, Password: password123
Email: student8@example.com, Password: password123
Email: student9@example.com, Password: password123
# ...and so on up to student99@example.com
